lat,lon
46.587714,-112.025023
46.587719,-112.025107
46.587723,-112.025165
46.587721,-112.025216
46.587733,-112.025328
46.587723,-112.025369
46.58774,-112.025399
46.587754,-112.025446
46.587754,-112.025498
46.587756,-112.025543
46.587759,-112.025621
46.587764,-112.025689
46.587769,-112.025775
46.587769,-112.025825
46.587768,-112.025898
46.58777,-112.025968
46.587771,-112.02604
46.587769,-112.026108
46.587763,-112.026173
46.587758,-112.026234
46.587753,-112.026298
46.58775,-112.026358
46.587746,-112.026418
46.587741,-112.026474
46.587739,-112.026532
46.587741,-112.026589
46.587745,-112.026648
46.587751,-112.0267
46.587756,-112.026756
46.587757,-112.026812
46.587757,-112.026865
46.587756,-112.026916
46.587757,-112.02697
46.587759,-112.027023
46.587759,-112.027077
46.587758,-112.02713
46.587758,-112.027188
46.587759,-112.027243
46.58776,-112.027299
46.587761,-112.027352
46.587764,-112.027398
46.587768,-112.027449
46.587767,-112.027499
46.587766,-112.027544
46.587767,-112.027589
46.587758,-112.027634
46.58775,-112.027676
46.58774,-112.027714
46.587749,-112.02776
46.587773,-112.027786
46.587778,-112.027832
46.587779,-112.027879
46.587774,-112.027939
46.587754,-112.028111
46.58776,-112.028172
46.587763,-112.028262
46.587755,-112.028345
46.587757,-112.028415
46.587761,-112.028502
46.587759,-112.028595
46.587763,-112.028692
46.587759,-112.028801
46.587765,-112.028894
46.587764,-112.029
46.587759,-112.029081
46.587764,-112.029161
46.587781,-112.029238
46.587786,-112.029357
46.587772,-112.029414
46.587767,-112.029485
46.587772,-112.029546
46.587788,-112.029607
46.587782,-112.029671
46.58779,-112.029747
46.587787,-112.029817
46.587776,-112.029904
46.587779,-112.03
46.587778,-112.030078
46.587789,-112.030144
46.58778,-112.030203
46.587765,-112.030316
46.587766,-112.030391
46.587751,-112.030494
46.587759,-112.030588
46.587766,-112.030679
46.587762,-112.030778
46.587761,-112.030858
46.587782,-112.030937
46.587791,-112.031019
46.587822,-112.031081
46.587859,-112.031185
46.587882,-112.031275
46.587909,-112.031356
46.58794,-112.031481
46.587984,-112.031573
46.588018,-112.031645
46.588056,-112.031736
46.588088,-112.031807
46.588094,-112.031912
46.588122,-112.032004
46.588152,-112.032065
46.588172,-112.032145
46.588206,-112.032184
46.588237,-112.032229
46.588252,-112.032287
46.588277,-112.032338
46.588294,-112.032394
46.588316,-112.032454
46.588342,-112.032472
46.588367,-112.032516
46.588381,-112.032583
46.58841,-112.03266
46.588441,-112.032737
46.588467,-112.032813
46.588486,-112.032874
46.588521,-112.032953
46.588554,-112.033001
46.58858,-112.033079
46.588613,-112.033152
46.588652,-112.033231
46.588672,-112.033301
46.588709,-112.033349
46.588737,-112.033409
46.588767,-112.033464
46.588793,-112.033535
46.58882,-112.033581
46.588837,-112.03363
46.588866,-112.033684
46.588888,-112.033732
46.5889,-112.03381
46.588927,-112.033864
46.588967,-112.033955
46.588992,-112.034038
46.589022,-112.034125
46.589049,-112.034201
46.589073,-112.034271
46.589099,-112.034346
46.58913,-112.034419
46.589173,-112.034503
46.589208,-112.034586
46.589249,-112.034638
46.589281,-112.034721
46.589314,-112.034798
46.589337,-112.03485
46.589355,-112.034909
46.58937,-112.034947
46.589384,-112.035007
46.589385,-112.035073
46.589378,-112.035145
46.589357,-112.035207
46.58925,-112.035242
46.589189,-112.035308
46.589127,-112.035358
46.589069,-112.0354
46.589001,-112.035449
46.588936,-112.03547
46.588885,-112.035515
46.588828,-112.035561
46.588773,-112.035609
46.588719,-112.03565
46.588672,-112.035699
46.588612,-112.035746
46.588548,-112.035796
46.588504,-112.035848
46.588459,-112.035899
46.588415,-112.035951
46.58837,-112.035999
46.588326,-112.03604
46.588278,-112.036077
46.588234,-112.03611
46.588203,-112.036142
46.588165,-112.03617
46.58814,-112.036192
46.588104,-112.036238
46.58808,-112.036271
46.588043,-112.036338
46.588035,-112.036406
46.588022,-112.036498
46.588003,-112.03659
46.587951,-112.036681
46.587907,-112.036734
46.587881,-112.0368
46.587845,-112.03686
46.587805,-112.036927
46.587753,-112.036977
46.587698,-112.037018
46.587651,-112.037059
46.587619,-112.037099
46.587583,-112.037155
46.587572,-112.037208
46.587583,-112.037249
46.587611,-112.037303
46.58766,-112.037301
46.587718,-112.037289
46.587781,-112.037268
46.587863,-112.037248
46.587938,-112.037242
46.588006,-112.037231
46.588066,-112.037229
46.588123,-112.037205
46.588169,-112.037195
46.58823,-112.037187
46.588259,-112.03716
46.588304,-112.037141
46.588342,-112.037149
46.588381,-112.037155
46.588458,-112.037198
46.588516,-112.037231
46.588575,-112.037236
46.588619,-112.037231
46.588661,-112.037222
46.588686,-112.03718
46.588714,-112.037205
46.588714,-112.037251
46.588687,-112.037277
46.588659,-112.037296
46.588626,-112.037294
46.5886,-112.037325
46.588584,-112.037374
46.588577,-112.037426
46.588568,-112.037472
46.588561,-112.03753
46.588572,-112.037602
46.588596,-112.037671
46.588627,-112.037734
46.588661,-112.037787
46.588694,-112.03783
46.588732,-112.037844
46.588775,-112.037827
46.588815,-112.03779
46.588856,-112.037753
46.588886,-112.037738
46.588964,-112.037675
46.589089,-112.037559
46.589136,-112.03753
46.589197,-112.03751
46.589248,-112.037453
46.589285,-112.037419
46.589333,-112.037387
46.589378,-112.03736
46.589417,-112.037344
46.589456,-112.037335
46.589487,-112.03734
46.589525,-112.03733
46.589557,-112.03734
46.589514,-112.037408
46.589481,-112.037428
46.589441,-112.037444
46.589405,-112.037475
46.589371,-112.037505
46.589336,-112.037527
46.589302,-112.037548
46.589268,-112.037571
46.589234,-112.037599
46.589201,-112.037626
46.589162,-112.037658
46.589121,-112.037696
46.589083,-112.037734
46.589045,-112.03778
46.589006,-112.037819
46.588974,-112.037843
46.588947,-112.037859
46.588919,-112.037872
46.588893,-112.037884
46.588865,-112.0379
46.588811,-112.037935
46.588763,-112.03796
46.588728,-112.037969
46.58869,-112.037996
46.588658,-112.038015
46.588623,-112.038035
46.588593,-112.038057
46.588562,-112.03808
46.588533,-112.038102
46.588504,-112.038132
46.588475,-112.038163
46.588449,-112.038191
46.588421,-112.038213
46.588389,-112.038233
46.588359,-112.03825
46.588329,-112.038264
46.588299,-112.038279
46.588267,-112.038292
46.588237,-112.038307
46.588206,-112.038317
46.588177,-112.03833
46.588144,-112.038343
46.588115,-112.038354
46.588087,-112.038363
46.588061,-112.038372
46.588034,-112.038383
46.588008,-112.038397
46.587981,-112.038412
46.587955,-112.038429
46.587925,-112.038445
46.587895,-112.038461
46.587866,-112.038476
46.587838,-112.03849
46.587805,-112.038504
46.587767,-112.038519
46.58773,-112.038534
46.587696,-112.038547
46.587659,-112.038558
46.587623,-112.038577
46.58759,-112.0386
46.587562,-112.038623
46.587533,-112.038645
46.587502,-112.038659
46.587468,-112.038666
46.587434,-112.03867
46.5874,-112.038676
46.587367,-112.038684
46.587336,-112.038694
46.587306,-112.038702
46.587273,-112.038716
46.587241,-112.038724
46.587207,-112.038732
46.587175,-112.038743
46.587146,-112.038765
46.587118,-112.03878
46.58709,-112.038808
46.58706,-112.038825
46.587026,-112.038841
46.586994,-112.038855
46.586962,-112.038868
46.586934,-112.038881
46.586902,-112.0389
46.586868,-112.038913
46.586835,-112.038928
46.586804,-112.038943
46.586773,-112.038963
46.586744,-112.038984
46.586718,-112.039007
46.586688,-112.03903
46.586666,-112.039056
46.586651,-112.039107
46.586615,-112.039125
46.586575,-112.039124
46.586538,-112.039102
46.586509,-112.039065
46.586487,-112.039017
46.586467,-112.038971
46.586448,-112.038927
46.58643,-112.038886
46.58641,-112.038846
46.586388,-112.03881
46.586363,-112.03878
46.586336,-112.038759
46.586308,-112.038748
46.586258,-112.038748
46.58621,-112.038769
46.586187,-112.038794
46.586162,-112.038827
46.58614,-112.03886
46.586116,-112.038896
46.586093,-112.038932
46.58607,-112.038969
46.586049,-112.039007
46.586026,-112.039047
46.586005,-112.039082
46.585988,-112.039126
46.585971,-112.039166
46.585953,-112.039208
46.585939,-112.039248
46.585924,-112.039289
46.585908,-112.03933
46.585892,-112.039376
46.585873,-112.039425
46.585853,-112.039473
46.585835,-112.03952
46.585814,-112.03957
46.585792,-112.039617
46.585769,-112.039662
